alpha,R1,R2,C,P
0.85,1.932679033,6.434223769,0.599149014,3.9372812
0.86,2.003947107,6.446412299,0.599551916,3.905348958
0.87,2.088223733,6.436105902,0.604070776,3.890660502
0.88,2.166924384,6.429437457,0.606856585,3.885670798
0.89,2.202630018,6.464457852,0.599039862,3.878614049
0.9,2.241685711,6.501001519,0.593001871,3.851281075
0.91,2.301671936,6.513863196,0.592568282,3.828507671
0.92,2.368944932,6.512408643,0.594293264,3.825639417
0.93,2.404683898,6.550714982,0.586843348,3.810319664
0.94,2.453023415,6.565376072,0.583671348,3.816315217
0.95,2.426995026,6.654481586,0.563117446,3.802148135
0.96,2.534485001,6.627971607,0.572857132,3.785601241
0.97,2.500786145,6.71097919,0.551622388,3.797196828
0.98,2.58269776,6.71640077,0.554537479,3.769152826
0.99,2.570712682,6.778082639,0.538817334,3.779061463
1,2.615401836,6.806585728,0.534509838,3.766590257
